Country,Date,Round,Coordinates,Region
Mongolia,2021-06-06,3,"49.156980211237411,104.74839261557",Selenge
Uruguay,2021-06-06,4,"-33.477497992855831,-55.149508019022292","Departamento de Lavalleja"
Slovakia,2021-06-06,5,"48.1463363,17.1070555","Bratislavský kraj"
Portugal,2021-06-07,1,"38.645448955341777,-8.7769365359028182",Setúbal
"New Zealand",2021-06-07,2,"-45.614883800839493,167.69852489931421","Southland Region"
Czechia,2021-06-07,3,"48.731942905875293,14.442991048599261","Jihočeský kraj"
"United Arab Emirates",2021-06-07,4,"25.19721179020317,55.272623953583143",Dubai
Canada,2021-06-07,5,"42.909308080561367,-79.346233595086289",Ontario
Egypt,2021-06-08,1,"29.9766377358675,31.135884995653409","Giza Governorate"
Indonesia,2021-06-08,2,"-6.8057163161295051,111.97721437398749","Jawa Timur"
Ukraine,2021-06-08,3,"51.122981,35.0339612","Sums'ka oblast"
"United States",2021-06-08,4,"37.767011645281237,-122.41434845695071",California
Mongolia,2021-06-08,5,"49.025683680656329,104.0387566581753",Orkhon
Ecuador,2021-06-09,1,"-0.96549613301440784,-91.013530932461137","Galápagos Province"
Finland,2021-06-09,2,"63.136973397592371,27.111488081842069",Pohjois-Savo
Lithuania,2021-06-09,3,"55.708427724937508,21.133949261668349","Klaipėdos apskritis"
Lithuania,2021-06-09,4,"54.155315509664121,25.65420286513536","Vilniaus apskritis"
"United Arab Emirates",2021-06-09,5,"25.19629681132761,55.275570678088492",Dubai
India,2021-06-10,1,"26.456422137804228,74.62841628791773",Rajasthan
Switzerland,2021-06-10,2,"47.758844792559152,8.65154577678766",Schaffhausen
Chile,2021-06-10,3,"-41.907318251743789,-73.760896457813331","Los Lagos"
Senegal,2021-06-10,4,"13.7768462,-13.6591798","Tambacounda Region"
Peru,2021-06-10,5,"-12.12823678315895,-76.443220546481726","Gobierno Regional de Lima"
Serbia,2021-06-11,1,"43.896297525916353,22.2315976498084","Zaječarski okrug"
"New Zealand",2021-06-11,2,"-46.589799669508473,168.3070113149771","Southland Region"
Uruguay,2021-06-11,3,"-31.7410204,-55.9822258","Departamento de Tacuarembó"
Croatia,2021-06-11,4,"44.550709930311839,15.96097152081018","Ličko-senjska županija"
Argentina,2021-06-11,5,"-30.73829326750657,-58.015150009573212","Entre Ríos"
Peru,2021-06-12,1,"-16.473917022725171,-71.948438487503054",Arequipa
Mongolia,2021-06-12,2,"49.025683680656329,104.0387566581753",Orkhon
Taiwan,2021-06-12,3,"24.681877304610321,121.3794463952409","Taoyuan City"
Hungary,2021-06-12,4,"46.9691169,21.5949295","Békés County"
Philippines,2021-06-12,5,"8.202386562386776,123.2483348226037","Zamboanga del Sur"
Senegal,2021-06-13,1,"16.2417095970098,-14.11539346388116","Saint-Louis Region"
Türkiye,2021-06-13,2,"38.963903069387868,37.893630634778809",Malatya
Brazil,2021-06-13,3,"-16.4207033,-44.7287821","Minas Gerais"
Slovakia,2021-06-13,4,"49.2364370262325,21.278406572758261","Prešovský kraj"
Mexico,2021-06-13,5,"31.86177650542524,-112.88323234535591",Sonora
Norway,2021-06-14,1,"60.887808709372408,5.2872740071217947",Vestland
"United States",2021-06-14,2,"38.8426288788962,-91.964973105474684",Missouri
Russia,2021-06-14,3,"54.996408357108322,60.084074280583422","Chelyabinskaya oblast'"
Latvia,2021-06-14,4,"56.880523845639352,23.96382883382158","Mārupes novads"
Denmark,2021-06-14,5,"56.404686,10.3588284","Central Denmark Region"
Indonesia,2021-06-15,1,"-7.3577464759497406,106.6218495620527","Jawa Barat"
Ecuador,2021-06-15,2,"-2.514707347772315,-79.578065122730635",Guayas
Slovakia,2021-06-15,3,"48.512861452157154,19.91529180614728","Banskobystrický kraj"
Mexico,2021-06-15,4,"20.742375460742171,-102.5354194339841",Jalisco
Philippines,2021-06-15,5,"14.43753898779657,120.8886532897213",Cavite
India,2021-06-16,1,"15.392479918772111,73.8797055054259",Goa
Finland,2021-06-16,2,"62.259659242431233,24.45137238788482",Keski-Suomi
Argentina,2021-06-16,3,"-32.6376992396553,-69.975830377005309",Mendoza
Latvia,2021-06-16,4,"57.868029596757673,24.3599688039909","Limbažu novads"
Kenya,2021-06-16,5,"0.1067977876303975,37.607912104618592",Eastern
Canada,2021-06-17,1,"47.891440210882287,-55.8439844420237","Newfoundland and Labrador"
Russia,2021-06-17,2,"55.765176262911737,48.195541771069",Chuvashia
Australia,2021-06-17,3,"-34.048232862630407,117.61414214593511","Western Australia"
"Isle of Man",2021-06-17,4,"54.15250329324676,-4.5413965485095869",Braddan
Türkiye,2021-06-17,5,"40.159240728072511,34.6334503133008",Çorum
Taiwan,2021-06-18,1,"24.519696718818569,120.94011978941759","Miaoli County"
France,2021-06-18,2,"45.744596,-0.6263932",Nouvelle-Aquitaine
Mongolia,2021-06-18,3,"47.919905914169313,106.9089586644827",Ulaanbaatar
Philippines,2021-06-18,4,"14.589491580425429,120.97495430520109","Metropolitan Manila First District"
Canada,2021-06-18,5,"51.298762644601688,-106.0390070717901",Saskatchewan
"New Zealand",2021-06-19,1,"-39.064938489327993,174.02154713189191","Taranaki Region"
"United States",2021-06-19,2,"37.812196718459887,-122.4192045555167",California
Argentina,2021-06-19,3,"-33.432348973874838,-66.905053311034138","San Luis"
Bulgaria,2021-06-19,4,"42.021120481332879,23.100934250453971",Blagoevgrad
"South Africa",2021-06-19,5,"-30.76526540027039,30.344366620804522",KwaZulu-Natal
Taiwan,2021-06-20,1,"23.553548878602381,119.5777178140018","Penghu County"
Ukraine,2021-06-20,2,"49.689835244193027,28.656292502612629","Vinnyts'ka oblast"
Belgium,2021-06-20,3,"50.823406991551067,4.3726646945449792",Bruxelles
Brazil,2021-06-20,4,"-28.165063711740839,-48.979107577957294","Santa Catarina"
Hungary,2021-06-20,5,"47.335160825195729,17.481925767676511",Veszprém
"United States",2021-06-21,1,"40.704626342636843,-73.993405914977217","New York"
France,2021-06-21,2,"48.886138827765407,2.3429519599917752",Île-de-France
Spain,2021-06-21,3,"43.397938338422613,-4.5349217474525858",Asturias
Bangladesh,2021-06-21,4,"24.72532695670477,90.4280458914784","Mymensingh Division"
Japan,2021-06-21,5,"43.11313035844573,144.12138783562929",Hokkaido
Senegal,2021-06-22,1,"14.4353002391165,-16.866330331029911","Thiès Region"
Mexico,2021-06-22,2,"20.219686895837651,-89.3064563705007",Yucatán
India,2021-06-22,3,"15.392479918772111,73.8797055054259",Goa
"United States",2021-06-22,4,"40.697535497923582,-74.050241087653745","New Jersey"
Estonia,2021-06-22,5,"58.1808661,22.1949391","Saare maakond"
Australia,2021-06-23,1,"-31.55039577688094,147.1727618126792","New South Wales"
Peru,2021-06-23,2,"-13.407383877905,-75.38256855199117",Huancavelica
"New Zealand",2021-06-23,3,"-46.579605089806442,168.3049265219592","Southland Region"
Switzerland,2021-06-23,4,"47.267863058959954,8.8322704598717738",Zürich
Malaysia,2021-06-23,5,"3.4951088511128829,103.3896299164289",Pahang
Bangladesh,2021-06-24,1,"23.22668959956783,90.019874648733008","Dhaka Division"
Mexico,2021-06-24,2,"18.227200387581579,-103.12762678111621",Michoacán
Chile,2021-06-24,3,"-38.7669948,-72.8494387",Araucania
Hungary,2021-06-24,4,"47.517295148138793,19.158804346495081",Budapest
Colombia,2021-06-24,5,"4.2651054,-74.5523238",Tolima
Croatia,2021-06-25,1,"44.1905834,15.8867092","Zadarska županija"
Bulgaria,2021-06-25,2,"43.2012046082038,27.910799071614111",Varna
Mongolia,2021-06-25,3,"48.010803144324278,91.642411613679371",Khovd
Canada,2021-06-25,4,"50.540790743738583,-100.51259275447291",Manitoba
Iceland,2021-06-25,5,"64.361640029377,-21.81378884811993",Hvalfjarðarsveit
Germany,2021-06-26,1,"52.428298266862967,13.712738418046831",Berlin
Taiwan,2021-06-26,2,"23.2917572,121.2835359","Hualien County"
Argentina,2021-06-26,3,"-39.315029957971973,-62.60918809834795","Provincia de Buenos Aires"
Argentina,2021-06-26,4,"-35.66502249972725,-59.742633474794758","Provincia de Buenos Aires"
"Isle of Man",2021-06-26,5,"54.148619685432983,-4.5081138143579613",Douglas
Japan,2021-06-27,1,"34.759715644091173,133.32182490848129",Hiroshima
Mexico,2021-06-27,2,"18.44666771063579,-96.36102818627397",Veracruz
Peru,2021-06-27,3,"-11.7019895,-75.759624",Junín
Sweden,2021-06-27,4,"63.720460990223572,18.4986184234401","Västernorrlands län"
Bolivia,2021-06-27,5,"-18.418702,-66.5839988","Departamento de Potosi"
Malaysia,2021-06-28,1,"3.6172948044833628,103.37589914346211",Pahang
Poland,2021-06-28,2,"52.144491424301243,19.824618502920831","Województwo łódzkie"
Mexico,2021-06-28,3,"22.683788740942411,-98.326682652980637",Tamaulipas
Ukraine,2021-06-28,4,"51.60093268642354,26.565106295490668","Rivnens'ka oblast"
Ireland,2021-06-28,5,"52.41818896043317,-7.2439241581611276","County Kilkenny"
Czechia,2021-06-29,1,"49.2190247,13.8877102","Jihočeský kraj"
Ecuador,2021-06-29,2,"-2.0083128155953229,-79.6149223163485",Guayas
Colombia,2021-06-29,3,"6.952041305783581,-73.772175195417788",Santander
Taiwan,2021-06-29,4,"24.352161725378831,121.3098278794251","Taichung City"
"South Africa",2021-06-29,5,"-30.789146467009,28.54535273306956","Eastern Cape"
Lithuania,2021-06-30,1,"55.6946191897751,25.323617886246389","Utenos apskritis"
Peru,2021-06-30,2,"-7.15709325811242,-79.440505028491089","La Libertad"
Mongolia,2021-06-30,3,"47.919065479547278,106.917015252195",Ulaanbaatar
Belgium,2021-06-30,4,"51.048291,3.7186922",Vlaanderen
Belgium,2021-06-30,5,"51.048291,3.7186922",Vlaanderen
Kenya,2021-07-01,1,"0.018831473574719409,37.083235408017792","Laikipia County"
Bolivia,2021-07-01,2,"-20.8124853163467,-63.345703846952958","Departamento de Chuquisaca"
Iceland,2021-07-01,3,"66.069735595417825,-23.125534079861868",Ísafjarðarbær
Israel,2021-07-01,4,"33.047987848602823,35.101189668520533","North District"
Slovenia,2021-07-01,5,"46.080942702529171,14.524306098637741",Ljubljana
Türkiye,2021-07-02,1,"39.923441192164248,33.235428706966523",Ankara
Chile,2021-07-02,2,"-34.652934068318977,-70.942462760986913",O'Higgins
Lithuania,2021-07-02,3,"54.533892775384729,25.29584775919313","Vilniaus apskritis"
Malaysia,2021-07-02,4,"3.4951088511128829,103.3896299164289",Pahang
Israel,2021-07-02,5,"33.092370136892562,35.105462493784273","North District"
Bolivia,2021-07-03,1,"-16.396368,-68.1740569","Departamento de La Paz"
Türkiye,2021-07-03,2,"38.257452467887568,36.915820765942009",Kahramanmaraş
Mexico,2021-07-03,3,"25.360271350965249,-97.876629233766025",Tamaulipas
Botswana,2021-07-03,4,"-24.700189244797411,23.50664688154875","Southern District"
Ireland,2021-07-03,5,"52.944548456346944,-9.1445963719922716","County Clare"
Bolivia,2021-07-04,1,"-16.396368,-68.1740569","Departamento de La Paz"
Hungary,2021-07-04,2,"46.843321228188941,17.116639312934112","Zala County"
Italy,2021-07-04,3,"46.2738765,11.1900077","Trentino-Alto Adige"
Argentina,2021-07-04,4,"-34.861210636185668,-67.8135032512767",Mendoza
Indonesia,2021-07-04,5,"-6.1361086464769192,106.299361521404",Banten
Colombia,2021-07-05,1,"9.7497100776218986,-74.859080581771",Bolívar
Chile,2021-07-05,2,"-32.505485481469918,-71.44649751558282",Valparaíso
"United States",2021-07-05,3,"33.645429213443357,-84.443325130154221",Georgia
Kenya,2021-07-05,4,"2.3323389669487922,37.990054269097307","Marsabit County"
Türkiye,2021-07-05,5,"38.608530080646773,27.362483357167459",Manisa
Brazil,2021-07-06,1,"-31.86849175776409,-54.165200207454369","Rio Grande do Sul"
Germany,2021-07-06,2,"51.515765013109487,7.4649678023570711",Nordrhein-Westfalen
Belgium,2021-07-06,3,"50.8443105,4.350847",Bruxelles
Denmark,2021-07-06,4,"57.588083532906047,10.269063082649449","North Denmark Region"
Australia,2021-07-06,5,"-20.2645806,148.716137",Queensland
Colombia,2021-07-07,1,"10.605030725484429,-72.982249042791736","La Guajira"
France,2021-07-07,2,"48.8940241996871,2.351471122836561",Île-de-France
France,2021-07-07,3,"48.831915931397582,2.299825427219901",Île-de-France
Italy,2021-07-07,4,"40.791702104180388,8.35680254049431",Sardegna
Ukraine,2021-07-07,5,"48.894300185165967,36.315862001359321","Kharkivs'ka oblast"
Türkiye,2021-07-08,1,"36.328745374964512,29.332585226476279",Antalya
Indonesia,2021-07-08,2,"-6.869247524505246,109.1282779728529","Jawa Tengah"
Albania,2021-07-08,3,"40.701443398560563,19.961584676141769","Qarku i Beratit"
Indonesia,2021-07-08,4,"-7.9263509,112.966708","Jawa Timur"
Mexico,2021-07-08,5,"25.898881418454451,-98.761275991509","Nuevo León"
Lithuania,2021-07-09,1,"56.157000045215177,23.6438439487085","Šiaulių apskritis"
Ukraine,2021-07-09,2,"50.067776388446688,36.202696970155692","Kharkivs'ka oblast"
Denmark,2021-07-09,3,"55.070281544705189,14.91901251276987","Capital Region of Denmark"
India,2021-07-09,4,"26.28076660800129,73.046526749197483",Rajasthan
"United States",2021-07-09,5,"37.82844113835926,-122.47952770140949",California
Russia,2021-07-10,1,"58.924225021676889,28.352356600539089","Leningradskaya oblast'"
Czechia,2021-07-10,2,"49.213232079744273,16.59363160745583","Jihomoravský kraj"
"New Zealand",2021-07-10,3,"-41.28225018442641,174.71560101128361","Wellington Region"
Brazil,2021-07-10,4,"-15.79448313522408,-39.257814945031413",Bahia
Philippines,2021-07-10,5,"9.951269119262296,123.9623555728906",Bohol
Belgium,2021-07-11,1,"51.220549869624392,4.39985732402554",Vlaanderen
Mongolia,2021-07-11,2,"47.919290066772668,106.9175455049273",Ulaanbaatar
"New Zealand",2021-07-11,3,"-43.215244690932813,170.3763929956435","West Coast Region"
Israel,2021-07-11,4,"32.106164250838908,34.813327671839367","Tel Aviv District"
Mexico,2021-07-11,5,"21.976872008932759,-101.29223640975781","San Luis Potosí"
Colombia,2021-07-12,1,"6.1519519226058517,-75.655668412328978",Antioquia
Israel,2021-07-12,2,"32.5117708,34.8970381","Haifa District"
Slovenia,2021-07-12,3,"45.5463484534003,13.730520893942041",Koper
Netherlands,2021-07-12,4,"52.518897821937337,5.4398307241834507",Flevoland
"New Zealand",2021-07-12,5,"-45.873975070228973,170.50415837913019","Otago Region"
Ecuador,2021-07-13,1,"-2.508800898817805,-79.498083264798709",Cañar
Greenland,2021-07-13,2,"69.227144163029521,-51.0951336497379",Avannaata
Türkiye,2021-07-13,3,"37.749343570431279,29.09070621181711",Denizli
Malaysia,2021-07-13,4,"5.4686128,100.2778138","Pulau Pinang"
Finland,2021-07-13,5,"61.9875811761143,28.93552508764995",Etelä-Savo
Lithuania,2021-07-14,1,"55.781555186141929,25.761689298109228","Utenos apskritis"
"New Zealand",2021-07-14,2,"-44.699986750817033,170.80982563964241","Canterbury Region"
Latvia,2021-07-14,3,"56.566997444339549,21.008884463999269","City of Liepāja"
Sweden,2021-07-14,4,"56.1387099,13.3938115","Skåne län"
Bolivia,2021-07-14,5,"-16.59864991982808,-68.897349190628887","Departamento de La Paz"
Estonia,2021-07-15,1,"59.118212455790257,24.31265018053557","Harju maakond"
Uruguay,2021-07-15,2,"-33.477497992855831,-55.149508019022292","Departamento de Lavalleja"
Brazil,2021-07-15,3,"-27.58857702548022,-50.363975489966172","Santa Catarina"
Thailand,2021-07-15,4,"17.1932592,98.3276712","Chang Wat Tak"
"United Arab Emirates",2021-07-15,5,"25.148743076168611,55.881564448284188",Sharjah
Bolivia,2021-07-16,1,"-16.203530049814869,-68.83279854085815","Departamento de La Paz"
"United Arab Emirates",2021-07-16,2,"24.17505961705622,55.739032721765447","Abu Dhabi"
Sweden,2021-07-16,3,"60.100415706055948,16.542706250904921","Västmanlands län"
Slovakia,2021-07-16,4,"49.399940827294436,20.341197876931751","Prešovský kraj"
Argentina,2021-07-16,5,"-28.236554728888549,-65.637079484847973",Catamarca
Croatia,2021-07-17,1,"44.047216495264692,15.31081186120962","Zadarska županija"
Israel,2021-07-17,2,"30.801527246514439,35.246023776871361","South District"
Norway,2021-07-17,3,"58.810528474679629,6.7660831484205843",Agder
Thailand,2021-07-17,4,"14.892757796770351,102.4203855035211","Nakhon Ratchasima"
Ecuador,2021-07-17,5,"-2.2010056597306051,-80.9773162142263","Santa Elena"
"United Arab Emirates",2021-07-18,1,"25.319511776145109,55.50777826567527",Sharjah
Argentina,2021-07-18,2,"-38.062331579151532,-60.164380519408972","Provincia de Buenos Aires"
Iceland,2021-07-18,3,"63.939744714998689,-21.005290379383862","Sveitarfélagið Árborg"
Ukraine,2021-07-18,4,"48.056414865837652,34.929365251561137","Zaporiz'ka oblast"
Lithuania,2021-07-18,5,"54.15197734318653,25.614064236554771","Vilniaus apskritis"
Romania,2021-07-19,1,"46.0886332,22.0250504","Județul Arad"
"United States",2021-07-19,2,"31.47419364151385,-106.1542356046631",Texas
India,2021-07-19,3,"32.80494595666201,75.318610349535732","Jammu and Kashmir"
Colombia,2021-07-19,4,"4.83251218704296,-75.573600065300511",Risaralda
"Isle of Man",2021-07-19,5,"54.325646726643,-4.4013929795687838",Ramsey
Belgium,2021-07-20,1,"50.499766944805472,3.5153368550119559","Région wallonne"
Bolivia,2021-07-20,2,"-16.77293040770429,-68.182158910549617","Departamento de La Paz"
Belgium,2021-07-20,3,"50.408446263683871,4.4438469453645588","Région wallonne"
India,2021-07-20,4,"25.431549217069811,81.771515412061888","Uttar Pradesh"
Slovenia,2021-07-20,5,"46.080942702529171,14.524306098637741",Ljubljana
Peru,2021-07-21,1,"-7.527011992241051,-78.147924541284212",Cajamarca
Sweden,2021-07-21,2,"59.891065272771272,12.30621438526302","Värmlands län"
Türkiye,2021-07-21,3,"37.686037671506988,38.04396662194501",Adıyaman
Sweden,2021-07-21,4,"57.458954608587362,12.174032597322441","Hallands län"
Australia,2021-07-21,5,"-35.196346769444077,150.4412034563353","New South Wales"
Croatia,2021-07-22,1,"45.084167312595682,14.44267635369072","Primorsko-goranska županija"
Russia,2021-07-22,2,"59.93975435266,30.31530950910787",Sankt-Peterburg
"United Arab Emirates",2021-07-22,3,"25.5254969,55.5571451","Emirate of Umm Al Quwain"
Mexico,2021-07-22,4,"21.1610664,-86.8255459","Quintana Roo"
Kenya,2021-07-22,5,"-0.2041481,35.2932638","Kisumu County"
Kenya,2021-07-23,1,"-1.2847212966094359,36.820579747002107","Nairobi County"
Ukraine,2021-07-23,2,"48.2490953,28.292407","Vinnyts'ka oblast"
Mexico,2021-07-23,3,"26.3295738340347,-111.54573878018979","Baja California Sur"
Estonia,2021-07-23,4,"58.254580586768427,22.55489834255005","Saare maakond"
Kenya,2021-07-23,5,"-1.366654772462258,38.01070036255836","Kitui County"
Romania,2021-07-24,1,"45.865429561797413,24.161810602959289","Județul Sibiu"
Germany,2021-07-24,2,"48.24029246656653,11.509253646562639",Bayern
Norway,2021-07-24,3,"68.530106812896776,16.111597814332821",Nordland
Chile,2021-07-24,4,"-52.664230317107418,-71.111561303156563","Magallanes y la Antártica Chilena"
Japan,2021-07-24,5,"40.450023472844137,141.68100405358379",Aomori
Mexico,2021-07-25,1,"26.64152282130738,-109.21355406246769",Sonora
Sweden,2021-07-25,2,"56.955257890458732,16.787376188254441","Kalmar län"
Slovenia,2021-07-25,3,"45.569549882877077,14.9448511919119",Kočevje
Indonesia,2021-07-25,4,"-6.8693434571534446,109.1286275765752","Jawa Tengah"
Kenya,2021-07-25,5,"0.2156305069882119,37.456438543899253","Meru County"
Germany,2021-07-26,1,"53.446598724519951,10.22012090728926",Hamburg
Netherlands,2021-07-26,2,"52.7199810545729,5.2763461010443109",Noord-Holland
India,2021-07-26,3,"22.648773274956291,88.3764222039116","West Bengal"
Greece,2021-07-26,4,"39.639842467378109,20.155563193887151",Epirus
Bolivia,2021-07-26,5,"-21.25602328709493,-63.45596936000922","Departamento de Tarija"
Ireland,2021-07-27,1,"54.13908920383318,-9.7161361823677712","County Mayo"
Latvia,2021-07-27,2,"57.0362331,22.7691347","Tukuma novads"
Philippines,2021-07-27,3,"14.579309457466341,120.9748339759133","Metropolitan Manila First District"
Chile,2021-07-27,4,"-36.321386667769673,-72.527473646636651",Ñuble
Chile,2021-07-27,5,"-34.657004623109913,-70.992649463264584",O'Higgins
Türkiye,2021-07-28,1,"38.741123458844768,39.914276395497417",Elazığ
Peru,2021-07-28,2,"-16.0035196,-74.0235712",Arequipa
Spain,2021-07-28,3,"36.500700120189343,-6.2623954930254158",Andalucía
Denmark,2021-07-28,4,"56.387542923866128,8.7916018980067889","Central Denmark Region"
"South Korea",2021-07-28,5,"35.570012738157679,129.22776658689881",Ulsan
Philippines,2021-07-29,1,"15.8171513082246,120.7292451164285","Nueva Ecija"
Latvia,2021-07-29,2,"56.604026370472162,22.452258765447361","Saldus novads"
Slovenia,2021-07-29,3,"46.144547463813083,15.206435629923581",Laško
Finland,2021-07-29,4,"62.136011630952517,25.013232687916869",Keski-Suomi
Bolivia,2021-07-29,5,"-16.298158800499252,-68.5279890628446","Departamento de La Paz"
"United States",2021-07-30,1,"40.722114403892469,-73.975986490537991","New York"
Philippines,2021-07-30,2,"6.1033667822678144,125.2924103465875",Sarangani
Greece,2021-07-30,3,"36.822502102731768,27.052939893052439","Southern Aegean"
Chile,2021-07-30,4,"-46.89361045872262,-72.769594228483854",Aysén
Colombia,2021-07-30,5,"7.0855832544544466,-70.757966736021345",Arauca
"South Korea",2021-07-31,1,"33.275862504117612,126.21695097761931",Jeju-do
Australia,2021-07-31,2,"-30.9825573,150.1885651","New South Wales"
Japan,2021-07-31,3,"41.265460824514619,140.8338895399136",Aomori
Bolivia,2021-07-31,4,"-18.10830797026496,-63.457524629567821","Departamento de Santa Cruz"
Netherlands,2021-07-31,5,"51.749881586564193,5.8404687069889523",Noord-Brabant
Poland,2021-08-01,1,"53.186819661634267,22.086507390969722","Województwo podlaskie"
Senegal,2021-08-01,2,"14.7527904,-17.4901815","Région de Dakar"
Malaysia,2021-08-01,3,"4.66945897406551,103.4034740556107",Terengganu
"United States",2021-08-01,4,"40.761415083577013,-73.99178155971299","New York"
Senegal,2021-08-01,5,"13.849737804922681,-16.057608461080061","Région de Kaolack"
Cambodia,2021-08-02,1,"12.253038718427479,105.8924325936118","Kratié Province"
Taiwan,2021-08-02,2,"24.349535435080892,121.3081597616043","Taichung City"
Cambodia,2021-08-02,3,"12.40335619869678,106.2387013714211","Kratié Province"
Egypt,2021-08-02,4,"29.975121404953079,31.137123048401008","Giza Governorate"
Bolivia,2021-08-02,5,"-16.298158800499252,-68.5279890628446","Departamento de La Paz"
Kenya,2021-08-03,1,"0.77518398227114116,34.788970768627777","Bungoma County"
Portugal,2021-08-03,2,"38.823440083608837,-7.424142137163062","Distrito de Évora"
Finland,2021-08-03,3,"65.775662989344951,28.69951221902102",Pohjois-Pohjanmaa
Brazil,2021-08-03,4,"-16.3519861725251,-48.958504823126113",Goiás
Australia,2021-08-03,5,"-42.12310973882542,148.2901295284486",Tasmania
Estonia,2021-08-04,1,"57.906265759472568,24.411486330654562","Pärnu maakond"
Iceland,2021-08-04,2,"63.733131263298937,-20.089777600860689","Rangárþing eystra"
Bangladesh,2021-08-04,3,"24.806855801663058,90.510357933967825","Mymensingh Division"
Colombia,2021-08-04,4,"2.1359542593594019,-75.715116465667776",Huila
Argentina,2021-08-04,5,"-25.1207437167626,-64.126986953030638",Salta
Finland,2021-08-05,1,"61.094010606113827,24.114651212155579",Kanta-Häme
Uruguay,2021-08-05,2,"-34.63419812392182,-56.632840793631523","Departamento de San José"
Colombia,2021-08-05,3,"2.391667,-76.657268",Cauca
Taiwan,2021-08-05,4,"23.563793922046791,119.58345460846689","Penghu County"
Belgium,2021-08-05,5,"51.1794505,5.6310684",Vlaanderen
"United States",2021-08-06,1,"30.3163162597815,-81.6552667887693",Florida
Japan,2021-08-06,2,"44.042585071652788,144.94967942190431",Hokkaido
Romania,2021-08-06,3,"44.433692512540738,26.10905994014907",București
Finland,2021-08-06,4,"67.817177463781761,23.681585603795941",Lappi
Poland,2021-08-06,5,"53.260325266688547,14.825136555903651","West Pomeranian Voivodeship"
Slovakia,2021-08-07,1,"48.638381895839657,19.945879032745491","Banskobystrický kraj"
Greece,2021-08-07,2,"37.667311582827743,23.959894053206011",Attica
Indonesia,2021-08-07,3,"-7.3445345,108.3886696","Jawa Barat"
Ecuador,2021-08-07,4,"-2.1783386291235431,-79.826013458856693",Guayas
Egypt,2021-08-07,5,"30.006642933908,31.229808278351271","Cairo Governorate"
Sweden,2021-08-09,1,"57.51007607343243,13.108334351516289","Västra Götalands län"
France,2021-08-09,2,"44.7302225,3.8977065",Auvergne-Rhône-Alpes
Australia,2021-08-09,3,"-35.982849945169718,139.74139210864891","South Australia"
Taiwan,2021-08-09,4,"24.139954366238289,120.6770057066245","Taichung City"
Argentina,2021-08-09,5,"-26.0735819119208,-65.975514809969624",Salta
Argentina,2021-08-10,1,"-27.010685240801159,-54.5220330398425",Misiones
Australia,2021-08-10,2,"-38.61516836743386,143.29215359487819",Victoria
Hungary,2021-08-10,3,"47.02114577600522,21.431574057541589",Hajdú-Bihar
Kenya,2021-08-10,4,"-0.53345342893502479,37.450499527611463","Embu County"
"Isle of Man",2021-08-10,5,"54.16799087359793,-4.5085236131228363",Braddan
France,2021-08-11,1,"42.214682314162538,9.55514633601004",Corse
Czechia,2021-08-11,2,"50.439875751921633,14.902955415992359","Středočeský kraj"
Taiwan,2021-08-11,3,"24.149177736486,121.65453646924951","Hualien County"
Thailand,2021-08-11,4,"17.9959238,102.9674048","Chang Wat Nong Khai"
Peru,2021-08-11,5,"-9.3582744060823337,-78.4250500469737",Áncash
